Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre de licenciés sportifs pour 100 habitants 2022
200026573;CC Haut-Jura Saint-Claude;23.2
200027027;CC Arc Sud Bretagne;30.7
200027076;CC Arnon Boischaut Cher;19.2
200027100;CC Méditerranée Porte des Maures;22.6
200027183;CU Perpignan Méditerranée Métropole;21.9
200027217;CC Sarlat-Périgord Noir;24
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;13.6
200027548;CC des Savanes;16.5
200029734;CC des 4B Sud Charente;22.3
200029999;CC Rives de l'Ain - Pays du Cerdon;24.1
200030195;Métropole Nice Côte d'Azur;20.7
200030385;CA de Blois ''Agglopolys'';23.8
200030435;CC d'Aire-sur-l'Adour;29.5
200030526;CC du Ried de Marckolsheim;22.8
200030633;CA du Caudrésis et du Catésis;16.2
200030658;CC du Trièves;25.1
200030674;CA Val de Garonne Agglomération;24.7
200032514;CC Berry-Loire-Vauvise;17.5
200033025;CA de Bar-le-Duc - Sud Meuse;27.2
200033090;CC Plaines et Monts de France;22.7
200033116;CC Cluses-Arve et Montagnes;26
200033173;CC de la Haute Vallée de Chevreuse;34.1
200033181;CA Chartres Métropole;27.1
200033298;CC des Coëvrons;28.6
200033579;CU d'Arras;22.7
200033827;CC de Fium'Orbu Castellu;18.6
200033868;CC des Ballons des Hautes-Vosges;16.1
200034023;CC Tarn-Agout;33.8
200034031;CC des Monts d'Alban et du Villefranchois;22.3
200034049;CC Centre Tarn;27.2
200034056;CC du Lautrécois et du Pays d'Agout;29.7
200034064;CC du Cordais et du Causse;20.1
200034098;CC des Montagnes du Giffre;38.1
200034130;CC Gally Mauldre;38.7
200034197;CC de Montaigne Montravel et Gurson;18
200034205;CC de la Costa Verde;15.4
200034270;CC du Pays de Barr;24.6
200034379;CC Pays d'Uzès;21.7
200034411;CC du Piémont Cévenol;19.8
200034601;CC Causses Aigoual Cévennes;13.4
200034635;CC du Kochersberg;32.1
200034692;CA du Gard Rhodanien;21.3
200034700;CA Durance-Lubéron-Verdon Agglomération;24.6
200034718;CC de Vitry, Champagne et Der;18.2
200034726;CC Bastides de Lomagne;26.7
200034825;CA du Grand Guéret;26.5
200034833;CC des Bastides Dordogne-Périgord;18
200034874;CC Côtes de Meuse Woëvre;20.6
200034882;CC Pays du Mont-Blanc;34.1
200034957;CC du Frontonnais;27.4
200035087;CA Terre de Provence;26.5
200035103;CC de la Vallée de la Haute Sarthe;20.4
200035111;CC des Sources de l'Orne;23.4
200035129;CC de Cèze Cévennes;14.9
200035137;CC Marche Occitane - Val d'Anglin;17.4
200035202;CC Charlieu-Belmont;23.8
200035319;Estérel Côte d'Azur Agglomération;22.5
200035327;CC Cazals-Salviac;15.8
200035442;CC du Sud Artois;15.1
200035533;CC du Grand Saint Emilionnais;24.6
200035541;CC des Landes d'Armagnac;21.1
200035632;CC Armagnac Adour;24.5
200035707;CC Piège Lauragais Malepère;21.3
200035715;CA Carcassonne Agglo;22.3
200035723;CC Ventoux Sud;19.3
200035731;CA Roannais Agglomération;23.3
200035756;CC Astarac Arros en Gascogne;22.4
200035764;CC de la Beauce Loirétaine;23.5
200035772;CC du Pays du Saintois;19.1
200035814;CA Flers Agglo;22.6
200035848;CC du Châtillonnais en Berry;16.5
200035855;CC Castelnaudary Lauragais Audois;23.3
200035863;CC Région Lézignanaise, Corbières et Minervois;18.2
200035970;CC Vexin Centre;27
200036069;CC du Pays de Mortagne-au-Perche;20.6
200036077;CC du Golfe de Saint-Tropez;24.3
200036135;CC Coeur de France;16.4
200036150;CC des Hauts du Val de Saône;13.8
200036465;CC de Thann-Cernay;24.6
200036473;CA "Saintes - Grandes Rives - L'Agglo";22.4
200036499;CC de Marana-Golo;29.4
200036523;CC des Bastides en Haut Agenais Périgord;22.9
200036549;CC Val de Gray;18.9
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);24.2
200037133;CC du Provinois;17.8
200038958;CC de la Pieve de l'Ornano et du Taravo;20.5
200038990;CC de Saint-Méen Montauban;28.4
200039022;CA Vitré Communauté;31.4
200039055;CC Ouche et Montagne;26
200039063;CC Forêts, Seine et Suzon;23.6
200039204;CC de Lacq-Orthez;25.4
200039519;CC du Quercy Blanc;22.9
200039642;CC Le Tonnerrois en Bourgogne;17.3
200039709;CC du Serein;12.9
200039758;CC Avallon, Vézelay, Morvan;16
