Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Municipales - Taux de participation au 1er tour 2020
200034825;CA du Grand Guéret;49.6
200034833;CC des Bastides Dordogne-Périgord;61.9
200034874;CC Côtes de Meuse Woëvre;65.3
200034882;CC Pays du Mont-Blanc;47.3
200034957;CC du Frontonnais;49.6
200035087;CA Terre de Provence;52.3
200035103;CC de la Vallée de la Haute Sarthe;56.7
200035111;CC des Sources de l'Orne;55.1
200035129;CC de Cèze Cévennes;54.2
200035137;CC Marche Occitane - Val d'Anglin;63.4
200035202;CC Charlieu-Belmont;45
200035319;Estérel Côte d'Azur Agglomération;39.8
200035327;CC Cazals-Salviac;70.7
200035442;CC du Sud Artois;63.1
200035533;CC du Grand Saint Emilionnais;52.5
200035541;CC des Landes d'Armagnac;59.2
200035632;CC Armagnac Adour;64
200035707;CC Piège Lauragais Malepère;59.6
200035715;CA Carcassonne Agglo;51.5
200035723;CC Ventoux Sud;58.8
200035731;CA Roannais Agglomération;41.4
200035756;CC Astarac Arros en Gascogne;66.2
200035764;CC de la Beauce Loirétaine;53.1
200035772;CC du Pays du Saintois;61.8
200035814;CA Flers Agglo;46.4
200035848;CC du Châtillonnais en Berry;60.3
200035855;CC Castelnaudary Lauragais Audois;55.3
200035863;CC Région Lézignanaise, Corbières et Minervois;58.5
200035970;CC Vexin Centre;48.5
200036069;CC du Pays de Mortagne-au-Perche;49.1
200036077;CC du Golfe de Saint-Tropez;49.7
200036135;CC Coeur de France;52.3
200036150;CC des Hauts du Val de Saône;69
200036465;CC de Thann-Cernay;37.3
200036473;CA "Saintes - Grandes Rives - L'Agglo";46.3
200036499;CC de Marana-Golo;47.8
200036523;CC des Bastides en Haut Agenais Périgord;60.6
200036549;CC Val de Gray;53.9
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);55.7
200037133;CC du Provinois;46.6
200038958;CC de la Pieve de l'Ornano et du Taravo;58.8
200038990;CC de Saint-Méen Montauban;51.4
200039022;CA Vitré Communauté;47.3
200039055;CC Ouche et Montagne;56.9
200039063;CC Forêts, Seine et Suzon;63.2
200039204;CC de Lacq-Orthez;56.9
200039519;CC du Quercy Blanc;58.5
200039642;CC Le Tonnerrois en Bourgogne;60.3
200039709;CC du Serein;65.1
200039758;CC Avallon, Vézelay, Morvan;58.9
200039808;CC des Gorges de l'Ardèche;57.5
200039824;CC Ardèche des Sources et Volcans;60.5
200039832;CC Pays des Vans en Cévennes;60.2
200039857;CA du Pays de Grasse;41.3
200039865;Metz Métropole;35.7
200039907;CC du Sud Messin;53.7
200039915;CA Cannes Pays de Lérins;35.4
200039931;CC Alpes d'Azur;70.8
200039949;CC Rives de Moselle;37.2
200040038;CC Saône Doubs Bresse;52.5
200040095;CC Isle Vern Salembre en Périgord;58.4
200040111;CC Coeur de Chartreuse;47.7
200040137;CC des Lacs de Champagne;62.8
200040178;CC de l'Outre-Forêt;43.8
200040202;CC Provence Verdon;54.5
200040210;CC Lacs et Gorges du Verdon;56.8
200040244;CA du Bocage Bressuirais;45.9
200040251;CC Bassée-Montois;53.2
200040277;CA Agglo du Pays de Dreux;39.8
200040293;CC du Clunisois;61.2
200040350;CC Bugey Sud;51.8
200040384;CC Isle Double Landais;55.9
200040392;CA Le Grand Périgueux;51
200040400;CC du Périgord Ribéracois;61.6
200040418;CC du Pays de Serres en Quercy;56.3
200040426;CC du Val de l'Oise;54.1
200040442;CA Luberon Monts de Vaucluse;47
200040459;CA Montélimar Agglomération;44
200040475;LBN Communauté;52.3
200040491;CC Porte de Dromardèche;46.4
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;54.6
200040558;CC Écueillé-Valençay;59.3
200040566;CA de l'Ouest Rhodanien;46.6
200040574;CC Beaujolais Pierres Dorées;42.4
200040590;CA Villefranche Beaujolais Saône;35
200040624;CC Pays d'Apt-Luberon;49.5
200040657;CC de la Matheysine;53.5
200040681;CC Enclave des Papes - Pays de Grignan;51.2
200040715;Grenoble-Alpes-Métropole;42.2
200040764;CC du Sud Corse;60.9
200040772;CC du Perche et Haut Vendômois;52.6
200040798;CC Val Vanoise;50.1
200040814;CC Briance Sud Haute Vienne;57.9
200040830;CC du Pays de Fénelon;63.7
200040889;CC de Portes Sud Périgord;60.7
200040905;CC Carmausin-Ségala;55.2
200040947;CA Coeur de Flandre;49.6
200040954;CC des Hauts de Flandre;48.2
200041010;CC Coeur de Savoie;48.6
200041051;CC Vallée de la Dordogne et Forêt Bessède;57
200041150;CC Terrassonnais Haut Périgord Noir;64.3
200041168;CC de la Vallée de l'Homme;62.6
200041283;CC de la Plaine du Rhin;51.7
200041317;CA du Niortais;45.5
200041325;CC du Pays Rhénan;43.2
200041333;CC de Parthenay-Gâtine;50.9
200041366;CC Rhône Crussol;42.2
