Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des jeunes non insérés (ni en emploi, ni scolarisés - NEET) 2022
200035129;CC de Cèze Cévennes;27.1
200035137;CC Marche Occitane - Val d'Anglin;14.4
200035202;CC Charlieu-Belmont;12.2
200035319;Estérel Côte d'Azur Agglomération;15.6
200035327;CC Cazals-Salviac;17.7
200035442;CC du Sud Artois;16.5
200035533;CC du Grand Saint Emilionnais;14.8
200035541;CC des Landes d'Armagnac;15.2
200035632;CC Armagnac Adour;15.6
200035707;CC Piège Lauragais Malepère;17.6
200035715;CA Carcassonne Agglo;21.2
200035723;CC Ventoux Sud;32.8
200035731;CA Roannais Agglomération;15.9
200035756;CC Astarac Arros en Gascogne;13.8
200035764;CC de la Beauce Loirétaine;13.9
200035772;CC du Pays du Saintois;10.8
200035814;CA Flers Agglo;15.2
200035848;CC du Châtillonnais en Berry;14.7
200035855;CC Castelnaudary Lauragais Audois;16.1
200035863;CC Région Lézignanaise, Corbières et Minervois;25
200035970;CC Vexin Centre;10.6
200036069;CC du Pays de Mortagne-au-Perche;16.8
200036077;CC du Golfe de Saint-Tropez;19.8
200036135;CC Coeur de France;20.1
200036150;CC des Hauts du Val de Saône;17.5
200036465;CC de Thann-Cernay;16.8
200036473;CA "Saintes - Grandes Rives - L'Agglo";17.7
200036499;CC de Marana-Golo;15.7
200036523;CC des Bastides en Haut Agenais Périgord;16.4
200036549;CC Val de Gray;18.2
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);23.3
200037133;CC du Provinois;18
200038958;CC de la Pieve de l'Ornano et du Taravo;16.5
200038990;CC de Saint-Méen Montauban;11.1
200039022;CA Vitré Communauté;9.7
200039055;CC Ouche et Montagne;8.5
200039063;CC Forêts, Seine et Suzon;11.2
200039204;CC de Lacq-Orthez;17.1
200039519;CC du Quercy Blanc;14.3
200039642;CC Le Tonnerrois en Bourgogne;20.8
200039709;CC du Serein;22
200039758;CC Avallon, Vézelay, Morvan;20
200039808;CC des Gorges de l'Ardèche;20.2
200039824;CC Ardèche des Sources et Volcans;18.2
200039832;CC Pays des Vans en Cévennes;20.1
200039857;CA du Pays de Grasse;17.1
200039865;Metz Métropole;14.9
200039907;CC du Sud Messin;9.9
200039915;CA Cannes Pays de Lérins;17.6
200039931;CC Alpes d'Azur;17.6
200039949;CC Rives de Moselle;15.1
200040038;CC Saône Doubs Bresse;13.9
200040095;CC Isle Vern Salembre en Périgord;21.6
200040111;CC Coeur de Chartreuse;10.6
200040137;CC des Lacs de Champagne;21.5
200040178;CC de l'Outre-Forêt;12.7
200040202;CC Provence Verdon;18.6
200040210;CC Lacs et Gorges du Verdon;18.1
200040244;CA du Bocage Bressuirais;13.5
200040251;CC Bassée-Montois;17.4
200040277;CA Agglo du Pays de Dreux;18
200040293;CC du Clunisois;8.5
200040350;CC Bugey Sud;14.2
200040384;CC Isle Double Landais;21.5
200040392;CA Le Grand Périgueux;16.1
200040400;CC du Périgord Ribéracois;20.7
200040418;CC du Pays de Serres en Quercy;18.3
200040426;CC du Val de l'Oise;20.8
200040442;CA Luberon Monts de Vaucluse;17
200040459;CA Montélimar Agglomération;17.5
200040475;LBN Communauté;12.2
200040491;CC Porte de Dromardèche;15
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;19.9
200040558;CC Écueillé-Valençay;15.1
200040566;CA de l'Ouest Rhodanien;13.4
