Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des déplacements domicile-travail en voiture 2022
200029999;CC Rives de l'Ain - Pays du Cerdon;87.3
200030195;Métropole Nice Côte d'Azur;55.3
200030385;CA de Blois ''Agglopolys'';79.6
200030435;CC d'Aire-sur-l'Adour;88.2
200030526;CC du Ried de Marckolsheim;86.2
200030633;CA du Caudrésis et du Catésis;83.3
200030658;CC du Trièves;80.5
200030674;CA Val de Garonne Agglomération;83.7
200032514;CC Berry-Loire-Vauvise;89.3
200033025;CA de Bar-le-Duc - Sud Meuse;78.1
200033090;CC Plaines et Monts de France;82.3
200033116;CC Cluses-Arve et Montagnes;83.6
200033173;CC de la Haute Vallée de Chevreuse;71.1
200033181;CA Chartres Métropole;73.3
200033298;CC des Coëvrons;81.6
200033579;CU d'Arras;76.2
200033827;CC de Fium'Orbu Castellu;86.8
200033868;CC des Ballons des Hautes-Vosges;84.3
200034023;CC Tarn-Agout;81.7
200034031;CC des Monts d'Alban et du Villefranchois;77.4
200034049;CC Centre Tarn;84.3
200034056;CC du Lautrécois et du Pays d'Agout;86.8
200034064;CC du Cordais et du Causse;75.7
200034098;CC des Montagnes du Giffre;85
200034130;CC Gally Mauldre;74.4
200034197;CC de Montaigne Montravel et Gurson;87.1
200034205;CC de la Costa Verde;86.5
200034270;CC du Pays de Barr;81.8
200034379;CC Pays d'Uzès;84.1
200034411;CC du Piémont Cévenol;83.5
200034601;CC Causses Aigoual Cévennes;71.1
200034635;CC du Kochersberg;87.1
200034692;CA du Gard Rhodanien;87.8
200034700;CA Durance-Lubéron-Verdon Agglomération;82.8
200034718;CC de Vitry, Champagne et Der;83
200034726;CC Bastides de Lomagne;85.4
200034825;CA du Grand Guéret;82.1
200034833;CC des Bastides Dordogne-Périgord;80.7
200034874;CC Côtes de Meuse Woëvre;86.6
200034882;CC Pays du Mont-Blanc;79.4
200034957;CC du Frontonnais;89.1
200035087;CA Terre de Provence;86.5
200035103;CC de la Vallée de la Haute Sarthe;85.5
200035111;CC des Sources de l'Orne;84
200035129;CC de Cèze Cévennes;83.9
200035137;CC Marche Occitane - Val d'Anglin;81.2
200035202;CC Charlieu-Belmont;86.1
200035319;Estérel Côte d'Azur Agglomération;81.9
200035327;CC Cazals-Salviac;84.1
200035442;CC du Sud Artois;85
200035533;CC du Grand Saint Emilionnais;82.5
200035541;CC des Landes d'Armagnac;84.5
200035632;CC Armagnac Adour;83.6
200035707;CC Piège Lauragais Malepère;83.8
200035715;CA Carcassonne Agglo;82.1
200035723;CC Ventoux Sud;84.6
200035731;CA Roannais Agglomération;80.9
200035756;CC Astarac Arros en Gascogne;84.7
200035764;CC de la Beauce Loirétaine;83.4
200035772;CC du Pays du Saintois;90.8
200035814;CA Flers Agglo;85.9
